SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,BANDING_CODES,ORDER,FAMILY_COM_NAME,4-Letter-Code (IBP),Common Name (IBP),6-Letter-Code (IBP),中文名,英文名,Common Name (BBL),4-Letter-Code (BBL),Name_Diff,Code_Diff,Common-Names,4-Letter-Code
Rhipidura albogularis,Spot-breasted Fantail,spbfan1,species,,Passeriformes,Fantails,,,,,,,,,,Spot-breasted Fantail,
Rhipidura albicollis x albogularis,White-throated x Spot-breasted Fantail (hybrid),x00812,hybrid,,Passeriformes,Fantails,,,,,,,,,,White-throated x Spot-breasted Fantail (hybrid),
Rhipidura phoenicura,Rufous-tailed Fantail,rutfan1,species,,Passeriformes,Fantails,,,,,,,,,,Rufous-tailed Fantail,
Rhipidura euryura,White-bellied Fantail,whbfan1,species,,Passeriformes,Fantails,,,,,,,,,,White-bellied Fantail,
Rhipidura aureola,White-browed Fantail,whbfan2,species,,Passeriformes,Fantails,,,,白眉扇尾鹟,White-browed Fantail,,,,,White-browed Fantail,
Rhipidura rufidorsa,Rufous-backed Fantail,rubfan1,species,,Passeriformes,Fantails,,,,,,,,,,Rufous-backed Fantail,
Rhipidura brachyrhyncha,Dimorphic Fantail,dimfan1,species,,Passeriformes,Fantails,,,,,,,,,,Dimorphic Fantail,
Rhipidura dahli,Bismarck Fantail,bisfan1,species,,Passeriformes,Fantails,,,,,,,,,,Bismarck Fantail,
Rhipidura matthiae,Mussau Fantail,matfan1,species,,Passeriformes,Fantails,,,,,,,,,,Mussau Fantail,
Rhipidura malaitae,Malaita Fantail,malfan1,species,,Passeriformes,Fantails,,,,,,,,,,Malaita Fantail,
Rhipidura teysmanni,Sulawesi Fantail,rubfan2,species,,Passeriformes,Fantails,,,,,,,,,,Sulawesi Fantail,
Rhipidura habibiei,Peleng Fantail,pelfan1,species,,Passeriformes,Fantails,,,,,,,,,,Peleng Fantail,
Rhipidura sulaensis,Taliabu Fantail,rubfan3,species,,Passeriformes,Fantails,,,,,,,,,,Taliabu Fantail,
Rhipidura superflua,Tawny-backed Fantail,cibfan1,species,,Passeriformes,Fantails,,,,,,,,,,Tawny-backed Fantail,
Rhipidura dedemi,Streak-breasted Fantail,stbfan1,species,,Passeriformes,Fantails,,,,,,,,,,Streak-breasted Fantail,
Rhipidura opistherythra,Long-tailed Fantail,lotfan1,species,,Passeriformes,Fantails,,,,,,,,,,Long-tailed Fantail,
Rhipidura lepida,Palau Fantail,palfan1,species,,Passeriformes,Fantails,,,,,,,,,,Palau Fantail,
Rhipidura semirubra,Manus Fantail,manfan2,species,,Passeriformes,Fantails,,,,,,,,,,Manus Fantail,
Rhipidura semicollaris,Supertramp Fantail,arafan2,species,,Passeriformes,Fantails,,,,,,,,,,Supertramp Fantail,
Rhipidura dryas,Arafura Fantail,arafan1,species,,Passeriformes,Fantails,,,,,,,,,,Arafura Fantail,
Rhipidura torrida,Gilolo Fantail,ruffan3,species,,Passeriformes,Fantails,,,,,,,,,,Gilolo Fantail,
Rhipidura rufifrons,Australian Rufous Fantail,ruffan13,species,,Passeriformes,Fantails,,,,,,,,,,Australian Rufous Fantail,
Rhipidura louisiadensis,Louisiade Fantail,ruffan4,species,,Passeriformes,Fantails,,,,,,,,,,Louisiade Fantail,
Rhipidura melanolaema,Santa Cruz Fantail,sacfan1,species,,Passeriformes,Fantails,,,,,,,,,,Santa Cruz Fantail,
Rhipidura versicolor,Micronesian Rufous Fantail,mirfan1,species,,Passeriformes,Fantails,,,,,,Micronesian Rufous Fantail,MIRF,,BBL,Micronesian Rufous Fantail,(MIRF)
Rhipidura rufofronta,Solomons Rufous Fantail,sorfan1,species,,Passeriformes,Fantails,,,,,,,,,,Solomons Rufous Fantail,
Rhipidura kubaryi,Pohnpei Fantail,pohfan1,species,,Passeriformes,Fantails,,,,,,,,,,Pohnpei Fantail,
Rhipidura albolimbata,Friendly Fantail,frifan1,species,,Passeriformes,Fantails,,,,,,,,,,Friendly Fantail,
Rhipidura hyperythra,Chestnut-bellied Fantail,chbfan1,species,,Passeriformes,Fantails,,,,,,,,,,Chestnut-bellied Fantail,
Rhipidura drownei,Bougainville Fantail,brnfan1,species,,Passeriformes,Fantails,,,,,,,,,,Bougainville Fantail,
Rhipidura ocularis,Guadalcanal Fantail,brnfan2,species,,Passeriformes,Fantails,,,,,,,,,,Guadalcanal Fantail,
Rhipidura spilodera,Vanuatu Streaked Fantail,strfan2,species,,Passeriformes,Fantails,,,,,,,,,,Vanuatu Streaked Fantail,
Rhipidura layardi,Fiji Streaked Fantail,fisfan1,species,,Passeriformes,Fantails,,,,,,,,,,Fiji Streaked Fantail,
Rhipidura verreauxi,New Caledonian Streaked Fantail,strfan5,species,,Passeriformes,Fantails,,,,,,,,,,New Caledonian Streaked Fantail,
Rhipidura tenebrosa,Dusky Fantail,dusfan1,species,,Passeriformes,Fantails,,,,,,,,,,Dusky Fantail,
Rhipidura rennelliana,Rennell Fantail,renfan1,species,,Passeriformes,Fantails,,,,,,,,,,Rennell Fantail,
Rhipidura personata,Kadavu Fantail,kanfan1,species,,Passeriformes,Fantails,,,,,,,,,,Kadavu Fantail,
Rhipidura nebulosa,Samoan Fantail,samfan1,species,,Passeriformes,Fantails,,,,,,,,,,Samoan Fantail,
Rhipidura albiscapa,Gray Fantail,gryfan1,species,,Passeriformes,Fantails,,,,,,,,,,Gray Fantail,
Rhipidura phasiana,Mangrove Fantail,manfan1,species,,Passeriformes,Fantails,,,,,,,,,,Mangrove Fantail,
Rhipidura fuliginosa,New Zealand Fantail,nezfan1,species,,Passeriformes,Fantails,,,,,,,,,,New Zealand Fantail,
Dicrurus sharpei,Sharpe's Drongo,shadro2,species,,Passeriformes,Drongos,,,,,,,,,,Sharpe's Drongo,
Dicrurus ludwigii,Square-tailed Drongo,cstdro1,species,,Passeriformes,Drongos,,,,,,,,,,Square-tailed Drongo,
Dicrurus atripennis,Shining Drongo,shidro1,species,,Passeriformes,Drongos,,,,,,,,,,Shining Drongo,
Dicrurus adsimilis,Fork-tailed Drongo,fotdro5,species,,Passeriformes,Drongos,,,,,,,,,,Fork-tailed Drongo,
Dicrurus modestus,Velvet-mantled Drongo,vemdro6,species,,Passeriformes,Drongos,,,,,,,,,,Velvet-mantled Drongo,
Dicrurus aldabranus,Aldabra Drongo,alddro1,species,,Passeriformes,Drongos,,,,,,,,,,Aldabra Drongo,
Dicrurus fuscipennis,Grande Comore Drongo,comdro1,species,,Passeriformes,Drongos,,,,,,,,,,Grande Comore Drongo,
Dicrurus forficatus,Crested Drongo,credro1,species,,Passeriformes,Drongos,,,,,,,,,,Crested Drongo,
Dicrurus waldenii,Mayotte Drongo,maydro1,species,,Passeriformes,Drongos,,,,,,,,,,Mayotte Drongo,
Dicrurus macrocercus,Black Drongo,bladro1,species,,Passeriformes,Drongos,,,,黑卷尾,Black Drongo,Black Drongo,BLDR,,BBL,Black Drongo,(BLDR)
Dicrurus leucophaeus,Ashy Drongo,ashdro1,species,,Passeriformes,Drongos,,,,灰卷尾,Ashy Drongo,,,,,Ashy Drongo,
Dicrurus caerulescens,White-bellied Drongo,whbdro1,species,,Passeriformes,Drongos,,,,,,,,,,White-bellied Drongo,
Dicrurus annectens,Crow-billed Drongo,crbdro1,species,,Passeriformes,Drongos,,,,鸦嘴卷尾,Crow-billed Drongo,,,,,Crow-billed Drongo,
Dicrurus aeneus,Bronzed Drongo,brodro1,species,,Passeriformes,Drongos,,,,古铜色卷尾,Bronzed Drongo,,,,,Bronzed Drongo,
Dicrurus remifer,Lesser Racket-tailed Drongo,lrtdro1,species,,Passeriformes,Drongos,,,,小盘尾,Lesser Racket-tailed Drongo,,,,,Lesser Racket-tailed Drongo,
Dicrurus hottentottus,Hair-crested Drongo,hacdro1,species,,Passeriformes,Drongos,,,,发冠卷尾,Hair-crested Drongo,,,,,Hair-crested Drongo,
Dicrurus striatus,Short-tailed Drongo,hacdro3,species,,Passeriformes,Drongos,,,,,,,,,,Short-tailed Drongo,
Dicrurus palawanensis,Palawan Drongo,paldro1,species,,Passeriformes,Drongos,,,,,,,,,,Palawan Drongo,
Dicrurus balicassius,Balicassiao,balica1,species,,Passeriformes,Drongos,,,,,,,,,,Balicassiao,
Dicrurus montanus,Sulawesi Drongo,suldro1,species,,Passeriformes,Drongos,,,,,,,,,,Sulawesi Drongo,
Dicrurus sumatranus,Sumatran Drongo,sumdro1,species,,Passeriformes,Drongos,,,,,,,,,,Sumatran Drongo,
Dicrurus densus,Wallacean Drongo,waldro1,species,,Passeriformes,Drongos,,,,,,,,,,Wallacean Drongo,
Dicrurus megarhynchus,Ribbon-tailed Drongo,ritdro1,species,,Passeriformes,Drongos,,,,,,,,,,Ribbon-tailed Drongo,
Dicrurus bracteatus,Spangled Drongo,spadro1,species,,Passeriformes,Drongos,,,,,,,,,,Spangled Drongo,
Dicrurus menagei,Tablas Drongo,tabdro1,species,,Passeriformes,Drongos,,,,,,,,,,Tablas Drongo,
Dicrurus andamanensis,Andaman Drongo,anddro1,species,,Passeriformes,Drongos,,,,,,,,,,Andaman Drongo,
Dicrurus paradiseus,Greater Racket-tailed Drongo,grtdro1,species,,Passeriformes,Drongos,,,,大盘尾,Greater Racket-tailed Drongo,,,,,Greater Racket-tailed Drongo,
Dicrurus lophorinus,Sri Lanka Drongo,srldro1,species,,Passeriformes,Drongos,,,,,,,,,,Sri Lanka Drongo,
Lycocorax pyrrhopterus,Halmahera Paradise-crow,paradi2,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Halmahera Paradise-crow,
Lycocorax obiensis,Obi Paradise-crow,paradi3,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Obi Paradise-crow,
Phonygammus keraudrenii,Trumpet Manucode,truman1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Trumpet Manucode,
Manucodia comrii,Curl-crested Manucode,cucman1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Curl-crested Manucode,
Manucodia chalybatus,Crinkle-collared Manucode,crcman2,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Crinkle-collared Manucode,
Manucodia jobiensis,Jobi Manucode,jobman1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Jobi Manucode,
Manucodia ater,Glossy-mantled Manucode,glmman2,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Glossy-mantled Manucode,
Pteridophora alberti,King-of-Saxony Bird-of-Paradise,kospar1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,King-of-Saxony Bird-of-Paradise,
Parotia carolae,Carola's Parotia,carpar1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Carola's Parotia,
Parotia berlepschi,Bronze Parotia,carpar3,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Bronze Parotia,
Parotia sefilata,Western Parotia,wespar1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Western Parotia,
Parotia wahnesi,Wahnes's Parotia,wahpar1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Wahnes's Parotia,
Parotia lawesii,Lawes's Parotia,lawpar3,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Lawes's Parotia,
Parotia helenae,Eastern Parotia,lawpar2,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Eastern Parotia,
Seleucidis melanoleucus,Twelve-wired Bird-of-Paradise,twwbop1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Twelve-wired Bird-of-Paradise,
Drepanornis albertisi,Black-billed Sicklebill,blbsic1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Black-billed Sicklebill,
Drepanornis bruijnii,Pale-billed Sicklebill,pabsic1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Pale-billed Sicklebill,
Semioptera wallacii,Standardwing Bird-of-Paradise,walsta2,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Standardwing Bird-of-Paradise,
Lophorina superba,Vogelkop Lophorina,vosbop1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Vogelkop Lophorina,
Parotia sefilata x Lophorina superba,Western Parotia x Vogelkop Lophorina (hybrid),x01194,hybrid,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Western Parotia x Vogelkop Lophorina (hybrid),
Lophorina latipennis,Greater Lophorina,grsbop1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Greater Lophorina,
Parotia carolae x Lophorina latipennis,Carola's Parotia x Greater Lophorina (hybrid),x01195,hybrid,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Carola's Parotia x Greater Lophorina (hybrid),
Lophorina minor,Lesser Lophorina,lesbop1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Lesser Lophorina,
Ptiloris paradiseus,Paradise Riflebird,parrif1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Paradise Riflebird,
Ptiloris victoriae,Victoria's Riflebird,vicrif1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Victoria's Riflebird,
Ptiloris magnificus,Magnificent Riflebird,magrif3,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Magnificent Riflebird,
Ptiloris intercedens,Growling Riflebird,magrif2,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Growling Riflebird,
Epimachus fastosus,Black Sicklebill,blasic1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Black Sicklebill,
Epimachus meyeri,Brown Sicklebill,brosic1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Brown Sicklebill,
Paradigalla carunculata,Long-tailed Paradigalla,lotpar1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Long-tailed Paradigalla,
Paradigalla brevicauda,Short-tailed Paradigalla,shtpar1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Short-tailed Paradigalla,
Astrapia splendidissima,Splendid Astrapia,splast1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Splendid Astrapia,
Astrapia nigra,Arfak Astrapia,arfast1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Arfak Astrapia,
Astrapia rothschildi,Huon Astrapia,huoast1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Huon Astrapia,
Astrapia stephaniae,Stephanie's Astrapia,prsast1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Stephanie's Astrapia,
Astrapia mayeri,Ribbon-tailed Astrapia,ritast1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Ribbon-tailed Astrapia,
Astrapia stephaniae x mayeri,Stephanie's x Ribbon-tailed Astrapia (hybrid),x00413,hybrid,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Stephanie's x Ribbon-tailed Astrapia (hybrid),
Cicinnurus regius,King Bird-of-Paradise,kbopar1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,King Bird-of-Paradise,
Diphyllodes respublica,Wilson's Bird-of-Paradise,wbopar1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Wilson's Bird-of-Paradise,
Diphyllodes magnificus,Magnificent Bird-of-Paradise,mbopar2,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Magnificent Bird-of-Paradise,
Paradisornis rudolphi,Blue Bird-of-Paradise,bbopar1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Blue Bird-of-Paradise,
Paradisaea guilielmi,Emperor Bird-of-Paradise,ebopar1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Emperor Bird-of-Paradise,
Paradisaea rubra,Red Bird-of-Paradise,rbopar2,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Red Bird-of-Paradise,
Paradisaea decora,Goldie's Bird-of-Paradise,gbopar1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Goldie's Bird-of-Paradise,
Paradisaea minor,Lesser Bird-of-Paradise,lbopar1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Lesser Bird-of-Paradise,
Paradisaea raggiana,Raggiana Bird-of-Paradise,rbopar1,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Raggiana Bird-of-Paradise,
Paradisaea minor x raggiana,Lesser x Raggiana Bird-of-Paradise (hybrid),x00814,hybrid,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Lesser x Raggiana Bird-of-Paradise (hybrid),
Paradisaea apoda,Greater Bird-of-Paradise,gbopar2,species,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Greater Bird-of-Paradise,
Paradisaea raggiana x apoda,Raggiana x Greater Bird-of-Paradise (hybrid),x00929,hybrid,,Passeriformes,Birds-of-Paradise,,,,,,,,,,Raggiana x Greater Bird-of-Paradise (hybrid),
Ifrita kowaldi,Blue-capped Ifrita,bucifr1,species,,Passeriformes,Ifrita,,,,,,,,,,Blue-capped Ifrita,
Trochocercus nitens,Blue-headed Crested Flycatcher,bhcfly1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Blue-headed Crested Flycatcher,
Trochocercus cyanomelas,African Crested Flycatcher,afcfly1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,African Crested Flycatcher,
Hypothymis helenae,Short-crested Monarch,shcmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Short-crested Monarch,
Hypothymis azurea,Black-naped Monarch,blnmon1,species,,Passeriformes,Monarch Flycatchers,,,,黑枕王鹟,Black-naped Monarch,,,,,Black-naped Monarch,
Hypothymis puella,Pale-blue Monarch,pabmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Pale-blue Monarch,
Hypothymis coelestis,Celestial Monarch,celmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Celestial Monarch,
Terpsiphone cyanescens,Blue Paradise-Flycatcher,blpfly1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Blue Paradise-Flycatcher,
Terpsiphone cinnamomea,Rufous Paradise-Flycatcher,rupfly1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Rufous Paradise-Flycatcher,
Terpsiphone atrocaudata,Black Paradise-Flycatcher,japfly1,species,,Passeriformes,Monarch Flycatchers,,,,紫寿带,Japanese Paradise-flycatcher,,,CNBIRD,,Black Paradise-Flycatcher|Japanese Paradise-flycatcher,
Terpsiphone incei,Amur Paradise-Flycatcher,amupaf1,species,,Passeriformes,Monarch Flycatchers,,,,寿带,Amur Paradise Flycatcher,,,,,Amur Paradise-Flycatcher,
Terpsiphone affinis,Blyth's Paradise-Flycatcher,blypaf1,species,,Passeriformes,Monarch Flycatchers,,,,中南寿带,Blyth's Paradise Flycatcher,,,,,Blyth's Paradise-Flycatcher,
Terpsiphone floris,Tenggara Paradise-Flycatcher,blypaf3,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Tenggara Paradise-Flycatcher,
Hypothymis azurea x Terpsiphone affinis,Black-naped Monarch x Blyth's Paradise-Flycatcher (hybrid),x00463,hybrid,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Black-naped Monarch x Blyth's Paradise-Flycatcher (hybrid),
Terpsiphone bourbonnensis,Mascarene Paradise-Flycatcher,mapfly2,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Mascarene Paradise-Flycatcher,
Terpsiphone paradisi,Indian Paradise-Flycatcher,aspfly1,species,,Passeriformes,Monarch Flycatchers,,,,印度寿带,Indian Paradise Flycatcher,,,,,Indian Paradise-Flycatcher,
Terpsiphone atrochalybeia,Sao Tome Paradise-Flycatcher,stpfly1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Sao Tome Paradise-Flycatcher,
Terpsiphone corvina,Seychelles Paradise-Flycatcher,sepfly1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Seychelles Paradise-Flycatcher,
Terpsiphone mutata,Malagasy Paradise-Flycatcher,mapfly1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Malagasy Paradise-Flycatcher,
Terpsiphone rufiventer,Black-headed Paradise-Flycatcher,bhpfly1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Black-headed Paradise-Flycatcher,
Terpsiphone bedfordi,Bedford's Paradise-Flycatcher,bepfly1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Bedford's Paradise-Flycatcher,
Terpsiphone rufocinerea,Rufous-vented Paradise-Flycatcher,rvpfly1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Rufous-vented Paradise-Flycatcher,
Terpsiphone batesi,Bates's Paradise-Flycatcher,batpaf1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Bates's Paradise-Flycatcher,
Terpsiphone viridis,African Paradise-Flycatcher,afpfly1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,African Paradise-Flycatcher,
Terpsiphone rufiventer x viridis,Black-headed x African Paradise-Flycatcher (hybrid),x00862,hybrid,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Black-headed x African Paradise-Flycatcher (hybrid),
Terpsiphone rufocinerea x viridis,Rufous-vented x African Paradise-Flycatcher (hybrid),x01159,hybrid,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Rufous-vented x African Paradise-Flycatcher (hybrid),
Chasiempis sandwichensis,Hawaii Elepaio,elepai,species,HAEL,Passeriformes,Monarch Flycatchers,HAEL,Hawaii Elepaio,CHASAN,,,Hawaii Elepaio,HAEL,,,Hawaii Elepaio,HAEL
Chasiempis sclateri,Kauai Elepaio,elepai5,species,KAEL,Passeriformes,Monarch Flycatchers,KAEL,Kauai Elepaio,CHASCL,,,Kauai Elepaio,KAEL,,,Kauai Elepaio,KAEL
Chasiempis ibidis,Oahu Elepaio,elepai4,species,OAEL,Passeriformes,Monarch Flycatchers,OAEL,Oahu Elepaio,CHAIBI,,,Oahu Elepaio,OAEL,,,Oahu Elepaio,OAEL
Pomarea nigra,Tahiti Monarch,tahmon2,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Tahiti Monarch,
Pomarea maupitiensis,Maupiti Monarch,maumon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Maupiti Monarch,
Pomarea dimidiata,Rarotonga Monarch,rarmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Rarotonga Monarch,
Pomarea fluxa,Eiao Monarch,eiamon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Eiao Monarch,
Pomarea nukuhivae,Nuku Hiva Monarch,nuhmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Nuku Hiva Monarch,
Pomarea iphis,Iphis Monarch,iphmon2,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Iphis Monarch,
Pomarea mira,Ua Pou Monarch,uapmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Ua Pou Monarch,
Pomarea mendozae,Marquesan Monarch,marmon2,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Marquesan Monarch,
Pomarea whitneyi,Fatu Hiva Monarch,fatmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Fatu Hiva Monarch,
Mayrornis versicolor,Ogea Monarch,ogemon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Ogea Monarch,
Mayrornis lessoni,Slaty Monarch,slamon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Slaty Monarch,
Mayrornis schistaceus,Vanikoro Monarch,vanmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Vanikoro Monarch,
Neolalage banksiana,Buff-bellied Monarch,bubmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Buff-bellied Monarch,
Clytorhynchus pachycephaloides,Southern Shrikebill,soushr2,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Southern Shrikebill,
Clytorhynchus hamlini,Rennell Shrikebill,renshr1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Rennell Shrikebill,
Clytorhynchus vitiensis,Fiji Shrikebill,fijshr1,species,,Passeriformes,Monarch Flycatchers,,,,,,Fiji Shrikebill,FISH,,BBL,Fiji Shrikebill,(FISH)
Clytorhynchus nigrogularis,Black-throated Shrikebill,bktshr1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Black-throated Shrikebill,
Clytorhynchus sanctaecrucis,Santa Cruz Shrikebill,bktshr2,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Santa Cruz Shrikebill,
Carterornis pileatus,White-naped Monarch,whnmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,White-naped Monarch,
Carterornis castus,Tanimbar Monarch,loemon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Tanimbar Monarch,
Carterornis leucotis,White-eared Monarch,whemon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,White-eared Monarch,
Carterornis chrysomela,Golden Monarch,golmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Golden Monarch,
Metabolus rugensis,Chuuk Monarch,trumon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Chuuk Monarch,
Monarcha godeffroyi,Yap Monarch,yapmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Yap Monarch,
Monarcha takatsukasae,Tinian Monarch,tinmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,Tinian Monarch,TIMO,,BBL,Tinian Monarch,(TIMO)
Monarcha cinerascens,Island Monarch,islmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Island Monarch,
Monarcha richardsii,White-capped Monarch,whcmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,White-capped Monarch,
Monarcha castaneiventris,Chestnut-bellied Monarch,chbmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Chestnut-bellied Monarch,
Monarcha melanopsis,Black-faced Monarch,blfmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Black-faced Monarch,
Monarcha frater,Black-winged Monarch,blwmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Black-winged Monarch,
Monarcha melanopsis x frater,Black-faced x Black-winged Monarch (hybrid),x00963,hybrid,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Black-faced x Black-winged Monarch (hybrid),
Symposiachrus axillaris,Fan-tailed Monarch,blamon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Fan-tailed Monarch,
Symposiachrus rubiensis,Rufous Monarch,rufmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Rufous Monarch,
Symposiachrus sacerdotum,Flores Monarch,flomon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Flores Monarch,
Symposiachrus boanensis,Boano Monarch,blcmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Boano Monarch,
Symposiachrus bimaculatus,Moluccan Spectacled Monarch,molmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Moluccan Spectacled Monarch,
Symposiachrus trivirgatus,Australian Spectacled Monarch,spemon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Australian Spectacled Monarch,
Symposiachrus melanopterus,Louisiade Spectacled Monarch,spemon10,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Louisiade Spectacled Monarch,
Symposiachrus leucurus,Kai Monarch,whtmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Kai Monarch,
Symposiachrus everetti,Tanahjampea Monarch,whtmon2,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Tanahjampea Monarch,
Symposiachrus loricatus,Buru Monarch,bltmon2,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Buru Monarch,
Symposiachrus julianae,Kofiau Monarch,blbmon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Kofiau Monarch,
Symposiachrus brehmii,Biak Monarch,biamon1,species,,Passeriformes,Monarch Flycatchers,,,,,,,,,,Biak Monarch,
